DATE,PCAGDPCNA646NWDB
1960-01-01,89.5205415103584
1961-01-01,75.8058379259965
1962-01-01,70.9094116671007
1963-01-01,74.3136434486145
1964-01-01,85.4985551596313
1965-01-01,98.4867777522206
1966-01-01,104.324566181147
1967-01-01,96.5895319417819
1968-01-01,91.4727183066072
1969-01-01,100.12990326618
1970-01-01,113.162991554686
1971-01-01,118.654577785346
1972-01-01,131.883561243868
1973-01-01,157.090374298657
1974-01-01,160.140093727686
1975-01-01,178.341819608096
1976-01-01,165.40554037242
1977-01-01,185.422832913673
1978-01-01,156.396388520044
1979-01-01,183.983152215978
1980-01-01,194.804722186836
1981-01-01,197.071474499102
1982-01-01,203.334919503464
1983-01-01,225.431928890812
1984-01-01,250.713969046988
1985-01-01,294.45884850496
1986-01-01,281.928120911563
1987-01-01,251.811956961329
1988-01-01,283.537695240524
1989-01-01,310.8819124049
1990-01-01,317.884673040928
1991-01-01,333.142145400184
1992-01-01,366.460692302073
1993-01-01,377.389839479958
1994-01-01,473.492278718042
1995-01-01,609.656679202484
1996-01-01,709.413755085039
1997-01-01,781.744164341053
1998-01-01,828.580479295681
1999-01-01,873.28706172579
2000-01-01,959.372483639691
2001-01-01,1053.10824300452
2002-01-01,1148.5082904417
2003-01-01,1288.64325183381
2004-01-01,1508.66809788266
2005-01-01,1753.41782925823
2006-01-01,2099.22943460447
2007-01-01,2693.96982683485
2008-01-01,3468.30446324747
2009-01-01,3832.23595156727
2010-01-01,4550.45359583857
2011-01-01,5618.13249134962
2012-01-01,6316.91886335683
2013-01-01,7050.64591988963
2014-01-01,7651.36604428568
2015-01-01,8033.38804310679
2016-01-01,8078.79047437238
2017-01-01,8759.04157775098
2018-01-01,9770.84708783314
