year,snow,location
1901-1910,54,Denver
1911-1920,61.6,Denver
1921-1930,62.4,Denver
1931-1940,59.4,Denver
1941-1950,60.1,Denver
1951-1960,68.6,Denver
1961-1970,54.8,Denver
1971-1980,66.8,Denver
1981-1990,60.1,Denver
1991-2000,58.1,Denver
2001-2010,46.2,Denver
2011-2019,44,Denver
1901-1910,83.9,Flagstaff
1911-1920,74.1,Flagstaff
1921-1930,57.5,Flagstaff
1931-1940,50.6,Flagstaff
1941-1950,80.3,Flagstaff
1951-1960,69.5,Flagstaff
1961-1970,101.2,Flagstaff
1971-1980,116.9,Flagstaff
1981-1990,104.7,Flagstaff
1991-2000,106.5,Flagstaff
2001-2010,82,Flagstaff
2011-2019,77.8,Flagstaff
